"text","target","cleaned_text"
"Our Deeds are the Reason of this #earthquake May ALLAH Forgive us all",1,"our deeds are the reason of this allah forgive us all"
"Forest fire near La Ronge Sask. Canada",1,"forest fire near la ronge sask canada"
"All residents asked to 'shelter in place' are being notified by officers. No other evacuation or shelter in place orders are expected",1,"all residents asked to shelter in place are being notified by officers no other evacuation or shelter in place orders are expected"
"13,000 people receive #wildfires evacuation orders in California ",1,"13000 people receive evacuation orders in california "
"Just got sent this photo from Ruby #Alaska as smoke from #wildfires pours into a school ",1,"just got sent this photo from ruby as smoke from pours into a school "
"#RockyFire Update => California Hwy. 20 closed in both directions due to Lake County fire - #CAfire #wildfires",1," update california hwy 20 closed in both directions due to lake county fire "
"#flood #disaster Heavy rain causes flash flooding of streets in Manitou, Colorado Springs areas",1," heavy rain causes flash flooding of streets in manitou colorado springs areas"
"I'm on top of the hill and I can see a fire in the woods...",1,"i am on top of the hill and i can see a fire in the woods"
"There's an emergency evacuation happening now in the building across the street",1,"there is an emergency evacuation happening now in the building across the street"
"I'm afraid that the tornado is coming to our area...",1,"i am afraid that the tornado is coming to our area"
"Three people died from the heat wave so far",1,"three people died from the heat wave so far"
"Haha South Tampa is getting flooded hah- WAIT A SECOND I LIVE IN SOUTH TAMPA WHAT AM I GONNA DO WHAT AM I GONNA DO FVCK #flooding",1,"haha south tampa is getting flooded hah wait a second i live in south tampa what am i going to do what am i going to do fvck "
"#raining #flooding #Florida #TampaBay #Tampa 18 or 19 days. I've lost count ",1," 18 or 19 days i have lost count "
"#Flood in Bago Myanmar #We arrived Bago",1," in bago myan arrived bago"
"Damage to school bus on 80 in multi car crash #BREAKING ",1,"damage to school bus on 80 in multi car crash "
"What's up man?",0,"what is up man"
"I love fruits",0,"i love fruits"
"Summer is lovely",0,"summer is lovely"
"My car is so fast",0,"my car is so fast"
"What a goooooooaaaaaal!!!!!!",0,"what a goooooooaaaaaal"
"this is ridiculous....",0,"this is ridiculous"
"London is cool ;)",0,"london is cool "
"Love skiing",0,"love skiing"
"What a wonderful day!",0,"what a wonderful day"
"LOOOOOOL",0,"looooool"
"No way...I can't eat that shit",0,"no wayi cannot eat that shit"
"Was in NYC last week!",0,"was in nyc last week"
"Love my girlfriend",0,"love my girlfriend"
"Cooool :)",0,"cooool "
"Do you like pasta?",0,"do you like pasta"
"The end!",0,"the end"
"@bbcmtd Wholesale Markets ablaze http://t.co/lHYXEOHY6C",1," wholesale kets ablaze "
"We always try to bring the heavy. #metal #RT http://t.co/YAo1e0xngw",0,"we always try to bring the heavy "
"#AFRICANBAZE: Breaking news:Nigeria flag set ablaze in Aba. http://t.co/2nndBGwyEi",1," breaking newsnigeria flag set ablaze in aba "
"Crying out for more! Set me ablaze",0,"crying out for more set me ablaze"
"On plus side LOOK AT THE SKY LAST NIGHT IT WAS ABLAZE http://t.co/qqsmshaJ3N",0,"on plus side look at the sky last night it was ablaze "
"@PhDSquares #mufc they've built so much hype around new acquisitions but I doubt they will set the EPL ablaze this season.",0," they have built so much hype around new acquisitions but i doubt they will set the epl ablaze this season"
"INEC Office in Abia Set Ablaze - http://t.co/3ImaomknnA",1,"inec office in abia set ablaze "
"Barbados #Bridgetown JAMAICA ÛÒ Two cars set ablaze: SANTA CRUZ ÛÓ Head of the St Elizabeth Police Superintende...  http://t.co/wDUEaj8Q4J",1,"barbados jamaica uo two cars set ablaze santa cruz uo head of the st elizabeth police superintende "
"Ablaze for you Lord :D",0,"ablaze for you lord d"
"Check these out: http://t.co/rOI2NSmEJJ http://t.co/3Tj8ZjiN21 http://t.co/YDUiXEfIpE http://t.co/LxTjc87KLS #nsfw",0,"check these out "
"on the outside you're ablaze and alive
but you're dead inside",0,"on the outside you are ablaze and alive but you are dead inside"
"Had an awesome time visiting the CFC head office the ancop site and ablaze. Thanks to Tita Vida for taking care of us ??",0,"had an awesome time visiting the cfc head office the ancop site and ablaze thanks to tita vida for taking care of us "
"SOOOO PUMPED FOR ABLAZE ???? @southridgelife",0,"soooo pumped for ablaze "
"I wanted to set Chicago ablaze with my preaching... But not my hotel! http://t.co/o9qknbfOFX",0,"i wanted to set chicago ablaze with my preaching but not my hotel "
"I gained 3 followers in the last week. You? Know your stats and grow with http://t.co/TIyUliF5c6",0,"i gained 3 followers in the last week you know your stats and grow with "
"How the West was burned: Thousands of wildfires ablaze in California alone http://t.co/vl5TBR3wbr",1,"how the west was burne thousands of wildfires ablaze in california alone "
"Building the perfect tracklist to life leave the streets ablaze",0,"building the perfect tracklist to life leave the streets ablaze"
"First night with retainers in. It's quite weird. Better get used to it; I have to wear them every single night for the next year at least.",0,"first night with retainers in it is quite weird better get used to it i have to wear them every single night for the next year at least"
"Deputies: Man shot before Brighton home set ablaze http://t.co/gWNRhMSO8k",1,"deputies man shot before brighton home set ablaze "
